feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,add variables in this order,variable name
"(15,)",[0.69083969 0.56704981 0.70992366 0.41603053],0.5959609253897225,"('card_merch_total_14',)",0.1883081549207406,0.11747370448335871,0.0678234749061697,1.0,card_merch_total_14
"(15, 28)",[0.75954198 0.65900383 0.7480916  0.49618321],0.6657051563276886,"('card_merch_total_14', 'card_zip3_max_30')",0.16883791567414907,0.10532743746461443,0.060810824373248605,2.0,card_zip3_max_30
"(7, 15, 28)",[0.74427481 0.68199234 0.75572519 0.53816794],0.6800400690240122,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30')",0.13878951746490023,0.08658211731149981,0.049988208736802174,3.0,card_state_total_3
"(7, 15, 28, 146)",[0.75954198 0.67816092 0.80534351 0.55725191],0.7000745810300956,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Merchnum_desc_total_1')",0.15100484899067776,0.09420250022284761,0.05438783886199685,4.0,Merchnum_desc_total_1
"(7, 15, 28, 76, 146)",[0.78244275 0.68582375 0.8129771  0.55343511],0.7086696791553333,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchdesc_Zip_max_60', 'Merchnum_desc_total_1')",0.16217507537063694,0.10117090726461302,0.05841105054338299,5.0,Card_Merchdesc_Zip_max_60
"(7, 15, 28, 76, 99, 146)",[0.79007634 0.68582375 0.8129771  0.5610687 ],0.712486473048463,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1')",0.15981007276860854,0.09969552975432944,0.05755924094066445,6.0,card_state_total_0
"(7, 15, 28, 73, 76, 99, 146)",[0.79007634 0.69731801 0.8129771  0.55725191],0.7144058377935714,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchdesc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1')",0.16116075916238493,0.10053813869146744,0.05804572143734265,7.0,Card_Merchdesc_max_60
"(7, 15, 28, 73, 74, 76, 99, 146)",[0.79007634 0.69348659 0.8129771  0.5610687 ],0.7144021818607236,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1')",0.15907562588127674,0.09923735418228663,0.05729471315080942,8.0,Card_Merchnum_desc_max_60
"(7, 15, 28, 73, 74, 76, 99, 146, 190)",[0.75572519 0.72413793 0.8129771  0.55725191],0.7125230323769413,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1', 'Card_Merchnum_Zip_avg_14')",0.15249710328650684,0.09513342453802678,0.05492530826596072,9.0,Card_Merchnum_Zip_avg_14
"(7, 15, 28, 72, 73, 74, 76, 99, 146, 190)",[0.77099237 0.77777778 0.82442748 0.55725191],0.7326123833757422,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1', 'Card_Merchnum_Zip_avg_14')",0.16560869442693346,0.10331292788234774,0.059647746723641856,10.0,Card_Merchnum_Zip_max_60
"(7, 15, 28, 72, 73, 74, 76, 99, 146, 178, 190)",[0.77099237 0.7816092  0.82442748 0.5610687 ],0.7345244362551548,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Card_Merchnum_Zip_avg_14')",0.1637010759353615,0.10212288377066156,0.058960674435412315,11.0,card_merch_avg_14
"(7, 15, 28, 70, 72, 73, 74, 76, 99, 146, 178, 190)",[0.77099237 0.7816092  0.82061069 0.5610687 ],0.7335702377818725,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Card_Merchnum_Zip_avg_14')",0.16237056879543055,0.10129286341049694,0.0584814619570384,12.0,card_merch_max_60
"(7, 15, 28, 70, 72, 73, 74, 76, 99, 138, 146, 178, 190)",[0.78625954 0.77777778 0.82442748 0.54580153],0.7335665818490246,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Card_Merchnum_Zip_avg_14')",0.17604099178646032,0.10982098706656844,0.0634051764455537,13.0,state_des_total_1
"(7, 15, 28, 70, 72, 73, 74, 76, 99, 138, 146, 178, 181, 190)",[0.80152672 0.78544061 0.8129771  0.55725191],0.7392990845544148,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Card_Merchnum_Zip_avg_14')",0.1692093589912835,0.10555915776630678,0.06094460815180739,14.0,Merchnum_desc_State_total_7
"(7, 15, 28, 70, 72, 73, 74, 76, 99, 138, 146, 178, 181, 182, 190)",[0.80152672 0.78544061 0.8129771  0.55725191],0.7392990845544148,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.1692093589912835,0.10555915776630678,0.06094460815180739,15.0,Merchnum_desc_total_7
"(7, 15, 28, 70, 72, 73, 74, 76, 99, 138, 145, 146, 178, 181, 182, 190)",[0.79389313 0.78544061 0.8129771  0.55725191],0.73739068760785,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_State_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.16748011272269164,0.10448038895132362,0.0603217806860835,16.0,Merchnum_desc_State_total_1
"(7, 15, 28, 31, 70, 72, 73, 74, 76, 99, 138, 145, 146, 178, 181, 182, 190)",[0.79007634 0.78544061 0.81679389 0.54198473],0.7335738937147203,"('card_state_total_3', 'card_merch_total_14', 'card_zip3_max_30', 'card_zip3_total_60', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_State_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.17834681481338188,0.1112594461336732,0.06423567117516489,17.0,card_zip3_total_60
"(7, 15, 18, 28, 31, 70, 72, 73, 74, 76, 99, 138, 145, 146, 178, 181, 182, 190)",[0.78244275 0.78544061 0.82442748 0.54198473],0.7335738937147203,"('card_state_total_3', 'card_merch_total_14', 'Card_Merchnum_Zip_total_14', 'card_zip3_max_30', 'card_zip3_total_60', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_State_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.17928882600349477,0.1118471081189649,0.06457495798056556,18.0,Card_Merchnum_Zip_total_14
"(7, 15, 18, 28, 31, 32, 70, 72, 73, 74, 76, 99, 138, 145, 146, 178, 181, 182, 190)",[0.78244275 0.76628352 0.82442748 0.5610687 ],0.7335556140504812,"('card_state_total_3', 'card_merch_total_14', 'Card_Merchnum_Zip_total_14', 'card_zip3_max_30', 'card_zip3_total_60', 'Card_Merchnum_Zip_total_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'state_des_total_1', 'Merchnum_desc_State_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.16321801747694817,0.10182153374885437,0.05878668991920164,19.0,Card_Merchnum_Zip_total_30
"(7, 15, 18, 28, 31, 32, 70, 72, 73, 74, 76, 99, 111, 138, 145, 146, 178, 181, 182, 190)",[0.78244275 0.77011494 0.82442748 0.5610687 ],0.7345134684566115,"('card_state_total_3', 'card_merch_total_14', 'Card_Merchnum_Zip_total_14', 'card_zip3_max_30', 'card_zip3_total_60', 'Card_Merchnum_Zip_total_30', 'card_merch_max_60', 'Card_Merchnum_Zip_max_60', 'Card_Merchdesc_max_60', 'Card_Merchnum_desc_max_60', 'Card_Merchdesc_Zip_max_60', 'card_state_total_0', 'Merchnum_desc_State_total_3', 'state_des_total_1', 'Merchnum_desc_State_total_1', 'Merchnum_desc_total_1', 'card_merch_avg_14', 'Merchnum_desc_State_total_7', 'Merchnum_desc_total_7', 'Card_Merchnum_Zip_avg_14')",0.16373239508039625,0.10214242183044464,0.05897195473948752,20.0,Merchnum_desc_State_total_3
