bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,124.0,60.0,64.0,48.38709677419355,51.61290322580645,124.0,60.0,64.0,0.48987589810581317,35.754189944134076,35.26431404602826,0.9375
2.0,125.0,114.0,11.0,91.2,8.799999999999997,249.0,174.0,75.0,1.4206401045068582,41.899441340782126,40.47880123627527,2.32
3.0,124.0,99.0,25.0,79.83870967741936,20.16129032258064,373.0,273.0,100.0,2.22893533638145,55.865921787709496,53.63698645132805,2.73
4.0,124.0,124.0,0.0,100.0,0.0,497.0,397.0,100.0,3.2413455258001305,55.865921787709496,52.62457626190937,3.97
5.0,124.0,121.0,3.0,97.58064516129032,2.4193548387096797,621.0,518.0,103.0,4.229261920313521,57.54189944134078,53.31263752102726,5.029126213592233
6.0,125.0,121.0,4.0,96.8,3.200000000000003,746.0,639.0,107.0,5.217178314826911,59.77653631284916,54.55935799802225,5.97196261682243
7.0,124.0,120.0,4.0,96.7741935483871,3.225806451612897,870.0,759.0,111.0,6.196930111038537,62.01117318435754,55.814243073319005,6.837837837837838
8.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,994.0,882.0,112.0,7.201175702155454,62.56983240223464,55.368656700079185,7.875
9.0,124.0,121.0,3.0,97.58064516129032,2.4193548387096797,1118.0,1003.0,115.0,8.189092096668844,64.24581005586592,56.05671795919707,8.721739130434782
10.0,125.0,125.0,0.0,100.0,0.0,1243.0,1128.0,115.0,9.209666884389287,64.24581005586592,55.03614317147663,9.808695652173913
11.0,124.0,124.0,0.0,100.0,0.0,1367.0,1252.0,115.0,10.222077073807968,64.24581005586592,54.02373298205795,10.88695652173913
12.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,1491.0,1375.0,116.0,11.226322664924886,64.80446927374301,53.57814660881812,11.85344827586207
13.0,125.0,125.0,0.0,100.0,0.0,1616.0,1500.0,116.0,12.24689745264533,64.80446927374301,52.55757182109768,12.931034482758621
14.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,1740.0,1622.0,118.0,13.242978445460484,65.92178770949721,52.67880926403673,13.745762711864407
15.0,124.0,121.0,3.0,97.58064516129032,2.4193548387096797,1864.0,1743.0,121.0,14.230894839973873,67.59776536312849,53.36687052315462,14.40495867768595
16.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,1988.0,1866.0,122.0,15.235140431090791,68.15642458100558,52.92128414991479,15.295081967213115
17.0,125.0,122.0,3.0,97.6,2.4000000000000057,2113.0,1988.0,125.0,16.231221423905943,69.83240223463687,53.60118081073093,15.904
18.0,124.0,120.0,4.0,96.7741935483871,3.225806451612897,2237.0,2108.0,129.0,17.21097322011757,72.06703910614524,54.85606588602768,16.34108527131783
