bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,588.0,156.0,432.0,26.53061224489796,73.46938775510205,588.0,156.0,432.0,0.2681656438553968,71.2871287128713,71.0189630690159,0.3611111111111111,172800.0,4680.0,168120.0
2.0,588.0,545.0,43.0,92.68707482993197,7.312925170068027,1176.0,701.0,475.0,1.2050263868117512,78.38283828382838,77.17781189701662,1.4757894736842105,190000.0,21030.0,168970.0
3.0,587.0,582.0,5.0,99.14821124361158,0.8517887563884159,1763.0,1283.0,480.0,2.2054905196568857,79.20792079207921,77.00243027242232,2.6729166666666666,192000.0,38490.0,153510.0
4.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,2351.0,1869.0,482.0,3.2128306946521583,79.53795379537954,76.32512310072738,3.8775933609958506,192800.0,56070.0,136730.0
5.0,588.0,573.0,15.0,97.44897959183673,2.551020408163268,2939.0,2442.0,497.0,4.197823732659481,82.01320132013201,77.81537758747253,4.913480885311872,198800.0,73260.0,125540.0
6.0,588.0,585.0,3.0,99.48979591836735,0.5102040816326507,3527.0,3027.0,500.0,5.203444897117219,82.50825082508251,77.30480592796529,6.054,200000.0,90810.0,109190.0
7.0,588.0,582.0,6.0,98.9795918367347,1.0204081632653015,4115.0,3609.0,506.0,6.203909029962354,83.4983498349835,77.29444080502114,7.132411067193676,202400.0,108270.0,94130.0
8.0,587.0,581.0,6.0,98.9778534923339,1.0221465076660934,4702.0,4190.0,512.0,7.202654152269953,84.48844884488449,77.28579469261453,8.18359375,204800.0,125700.0,79100.0
9.0,588.0,581.0,7.0,98.80952380952381,1.1904761904761898,5290.0,4771.0,519.0,8.201399274577554,85.64356435643565,77.44216508185809,9.19267822736031,207600.0,143130.0,64470.0
10.0,588.0,582.0,6.0,98.9795918367347,1.0204081632653015,5878.0,5353.0,525.0,9.201863407422687,86.63366336633663,77.43179995891394,10.196190476190477,210000.0,160590.0,49410.0
11.0,588.0,583.0,5.0,99.14965986394557,0.8503401360544274,6466.0,5936.0,530.0,10.204046550805357,87.45874587458746,77.2546993237821,11.2,212000.0,178080.0,33920.0
12.0,587.0,583.0,4.0,99.31856899488926,0.6814310051107384,7053.0,6519.0,534.0,11.206229694188025,88.11881188118812,76.9125821870001,12.207865168539326,213600.0,195570.0,18030.0
13.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,7641.0,7106.0,535.0,12.215288879720832,88.28382838283828,76.06853950311745,13.282242990654206,214000.0,213180.0,820.0
